"SampleID","samplename","model_out_name","time","creek","station","station_num","biol","tech","diet_sp","P18S_taxon_assign","Species","expected_prop","has_multiple_seals","seal_1","seal_2","seal_1_actual_mass","seal_2_actual_mass","seal_1_total_mass","seal_2_total_mass","seal_1_actual_prop","seal_2_actual_prop"
"PvCF_D1_05","PvCF_D1_05_TR3","1_PvCF_1_5",1,"PvCF","D1",1,5,3,"salmon_1","Actinopteri","Oncorhynchus kisutch",0.1,TRUE,"DaVinci","Donnelly",0.33,0.05,3.21,2.93,0.102803738317757,0.0170648464163823
"PvCF_D1_05","PvCF_D1_05_TR1","1_PvCF_1_5",1,"PvCF","D1",1,5,1,"squid","Cephalopoda","Doryteuthis opalescens",0.1,TRUE,"DaVinci","Donnelly",0.33,0.32,3.21,2.93,0.102803738317757,0.109215017064846
"PvCF_D1_05","PvCF_D1_05_TR2","1_PvCF_1_5",1,"PvCF","D1",1,5,2,"squid","Cephalopoda","Doryteuthis opalescens",0.1,TRUE,"DaVinci","Donnelly",0.33,0.32,3.21,2.93,0.102803738317757,0.109215017064846
"PvCF_D1_05","PvCF_D1_05_TR3","1_PvCF_1_5",1,"PvCF","D1",1,5,3,"squid","Cephalopoda","Doryteuthis opalescens",0.1,TRUE,"DaVinci","Donnelly",0.33,0.32,3.21,2.93,0.102803738317757,0.109215017064846
"PvCF_D1_06","PvCF_D1_06_TR1","1_PvCF_1_6",1,"PvCF","D1",1,6,1,"capelin","Actinopteri","Mallotus villosus",0.2,TRUE,"DaVinci","Donnelly",0.63,0.64,3.21,2.93,0.196261682242991,0.218430034129693
"PvCF_D1_06","PvCF_D1_06_TR2","1_PvCF_1_6",1,"PvCF","D1",1,6,2,"capelin","Actinopteri","Mallotus villosus",0.2,TRUE,"DaVinci","Donnelly",0.63,0.64,3.21,2.93,0.196261682242991,0.218430034129693
"PvCF_D1_06","PvCF_D1_06_TR3","1_PvCF_1_6",1,"PvCF","D1",1,6,3,"capelin","Actinopteri","Mallotus villosus",0.2,TRUE,"DaVinci","Donnelly",0.63,0.64,3.21,2.93,0.196261682242991,0.218430034129693
"PvCF_D1_06","PvCF_D1_06_TR1","1_PvCF_1_6",1,"PvCF","D1",1,6,1,"hake","Actinopteri","Merluccius productus",0,TRUE,"DaVinci","Donnelly",0,0,3.21,2.93,0,0
"PvCF_D1_06","PvCF_D1_06_TR2","1_PvCF_1_6",1,"PvCF","D1",1,6,2,"hake","Actinopteri","Merluccius productus",0,TRUE,"DaVinci","Donnelly",0,0,3.21,2.93,0,0
"PvCF_D1_06","PvCF_D1_06_TR3","1_PvCF_1_6",1,"PvCF","D1",1,6,3,"hake","Actinopteri","Merluccius productus",0,TRUE,"DaVinci","Donnelly",0,0,3.21,2.93,0,0
"PvCF_D1_06","PvCF_D1_06_TR1","1_PvCF_1_6",1,"PvCF","D1",1,6,1,"herring","Actinopteri","Clupea pallasii",0.6,TRUE,"DaVinci","Donnelly",1.92,1.92,3.21,2.93,0.598130841121495,0.655290102389078
"PvCF_D1_06","PvCF_D1_06_TR2","1_PvCF_1_6",1,"PvCF","D1",1,6,2,"herring","Actinopteri","Clupea pallasii",0.6,TRUE,"DaVinci","Donnelly",1.92,1.92,3.21,2.93,0.598130841121495,0.655290102389078
"PvCF_D1_06","PvCF_D1_06_TR3","1_PvCF_1_6",1,"PvCF","D1",1,6,3,"herring","Actinopteri","Clupea pallasii",0.6,TRUE,"DaVinci","Donnelly",1.92,1.92,3.21,2.93,0.598130841121495,0.655290102389078
